scale,method,correct_promotion_pct,unsafe_promotion_pct,unsafe_promotions,blocked_safe,managed_edges,reps,valid_promotions,invalid_promotions,no_promotion,retained_active
50,QTKG,96.00,0.00,0,91,1500,30,1409,0,91,0
50,NoKG,96.00,3.07,46,45,1500,30,1409,46,45,0
50,SL-CA,52.00,59.87,898,0,1500,30,602,898,0,0
50,ELCA,88.00,17.27,259,0,1500,30,1241,259,0,0
50,ConfigProfile,52.00,56.60,849,49,1500,30,602,849,49,0
50,OPP,96.00,6.07,91,0,1500,30,1409,91,0,0
50,Static,96.00,11.93,179,0,1500,30,1321,179,0,0
100,QTKG,96.04,0.00,0,143,3030,30,2887,0,143,0
100,NoKG,96.04,3.47,105,38,3030,30,2887,105,38,0
100,SL-CA,52.48,58.25,1765,0,3030,30,1265,1765,0,0
100,ELCA,89.11,15.28,463,0,3030,30,2567,463,0,0
100,ConfigProfile,52.48,54.75,1659,106,3030,30,1265,1659,106,0
100,OPP,96.04,4.72,143,0,3030,30,2887,143,0,0
100,Static,96.04,10.20,309,0,3030,30,2721,309,0,0
200,QTKG,96.23,0.00,0,263,6360,30,6097,0,263,0
200,NoKG,96.23,3.19,203,60,6360,30,6097,203,60,0
200,SL-CA,53.30,54.34,3456,0,6360,30,2904,3456,0,0
200,ELCA,90.09,14.81,942,0,6360,30,5418,942,0,0
200,ConfigProfile,53.30,51.07,3248,208,6360,30,2904,3248,208,0
200,OPP,96.23,4.14,263,0,6360,30,6097,263,0,0
200,Static,96.23,12.15,773,0,6360,30,5587,773,0,0
500,QTKG,96.13,0.00,0,992,17850,30,16858,0,992,0
500,NoKG,96.13,3.01,537,455,17850,30,16858,537,455,0
500,SL-CA,58.49,52.03,9288,0,17850,30,8562,9288,0,0
500,ELCA,89.41,15.80,2821,0,17850,30,15029,2821,0,0
500,ConfigProfile,58.49,48.94,8735,553,17850,30,8562,8735,553,0
500,OPP,96.13,5.56,992,0,17850,30,16858,992,0,0
500,Static,95.46,12.03,2147,0,17850,30,15703,2147,0,0
1000,QTKG,96.42,0.00,0,1691,41940,30,40249,0,1691,0
1000,NoKG,96.42,2.79,1172,519,41940,30,40249,1172,519,0
1000,SL-CA,61.95,44.30,18580,0,41940,30,23360,18580,0,0
1000,ELCA,90.20,11.96,5016,0,41940,30,36924,5016,0,0
1000,ConfigProfile,61.95,41.48,17397,1183,41940,30,23360,17397,1183,0
1000,OPP,96.42,4.03,1691,0,41940,30,40249,1691,0,0
1000,Static,94.78,9.02,3785,0,41940,30,38155,3785,0,0
2000,QTKG,95.86,0.00,0,5918,110760,30,104842,0,5918,0
2000,NoKG,95.86,2.89,3197,2721,110760,30,104842,3197,2721,0
2000,SL-CA,64.11,40.15,44475,0,110760,30,66285,44475,0,0
2000,ELCA,88.52,13.13,14539,0,110760,30,96221,14539,0,0
2000,ConfigProfile,64.11,37.19,41190,3285,110760,30,66285,41190,3285,0
2000,OPP,95.86,5.34,5918,0,110760,30,104842,5918,0,0
2000,Static,92.98,9.04,10015,0,110760,30,100745,10015,0,0
