scale,method,correct_promotion_pct,unsafe_promotion_pct,unsafe_promotions,blocked_safe,managed_edges,reps,valid_promotions,invalid_promotions,no_promotion,retained_active
50,QTKG,96.08,0.00,0,123,3053,30,2930,0,123,0
50,NoKG,96.08,3.05,93,30,3053,30,2930,93,30,0
50,SL-CA,85.29,14.87,454,0,3053,30,2599,454,0,0
50,ELCA,86.67,14.38,439,0,3053,30,2614,439,0,0
50,ConfigProfile,85.29,11.79,360,94,3053,30,2599,360,94,0
50,OPP,96.08,4.03,123,0,3053,30,2930,123,0,0
50,Static,87.38,12.87,393,0,3053,30,2660,393,0,0
100,QTKG,96.48,0.00,0,222,5934,30,5712,0,222,0
100,NoKG,96.48,2.81,167,55,5934,30,5712,167,55,0
100,SL-CA,86.43,14.26,846,0,5934,30,5088,846,0,0
100,ELCA,85.92,14.09,836,0,5934,30,5098,836,0,0
100,ConfigProfile,86.43,11.43,678,168,5934,30,5088,678,168,0
100,OPP,96.48,3.74,222,0,5934,30,5712,222,0,0
100,Static,86.80,13.50,801,0,5934,30,5133,801,0,0
200,QTKG,96.47,0.00,0,403,11929,30,11526,0,403,0
200,NoKG,96.47,2.54,303,100,11929,30,11526,303,100,0
200,SL-CA,85.71,13.75,1640,0,11929,30,10289,1640,0,0
200,ELCA,86.14,13.53,1614,0,11929,30,10315,1614,0,0
200,ConfigProfile,85.71,11.20,1336,304,11929,30,10289,1336,304,0
200,OPP,96.47,3.38,403,0,11929,30,11526,403,0,0
200,Static,86.70,13.05,1557,0,11929,30,10372,1557,0,0
