stale_fraction,method,services,compliance_pct_median,blocked_safe_pct_median,unsafe_promotion_pct,unsafe_promotions,managed_edges,reps
0.00,QTKG,200,100.00,0.00,0.00,0,6360,30
0.00,NoKG,200,100.00,0.00,0.00,0,6360,30
0.05,QTKG,200,94.81,5.19,0.00,0,6360,30
0.05,NoKG,200,94.81,0.00,5.19,330,6360,30
0.10,QTKG,200,90.09,9.91,0.00,0,6360,30
0.10,NoKG,200,90.09,0.00,9.84,626,6360,30
0.25,QTKG,200,75.00,25.00,0.00,0,6360,30
0.25,NoKG,200,75.00,0.00,24.75,1574,6360,30
0.50,QTKG,200,50.00,50.00,0.00,0,6360,30
0.50,NoKG,200,50.00,0.00,49.43,3144,6360,30
0.75,QTKG,200,25.00,75.00,0.00,0,6360,30
0.75,NoKG,200,25.00,0.00,74.21,4720,6360,30
0.90,QTKG,200,9.91,90.09,0.00,0,6360,30
0.90,NoKG,200,9.91,0.00,89.20,5673,6360,30
