stale_fraction,method,services,compliance_pct_median,blocked_safe_pct_median,unsafe_promotion_pct,unsafe_promotions,managed_edges,reps
0.00,QTKG,200,99.03,1.00,0.00,0,11870,30
0.00,NoKG,200,99.03,1.00,0.00,0,11870,30
0.05,QTKG,200,94.16,5.97,0.00,0,11870,30
0.05,NoKG,200,94.16,1.00,4.99,592,11870,30
0.10,QTKG,200,89.14,10.89,0.00,0,11870,30
0.10,NoKG,200,89.14,1.00,9.97,1183,11870,30
0.25,QTKG,200,74.43,25.57,0.00,0,11870,30
0.25,NoKG,200,74.43,1.00,24.75,2938,11870,30
0.50,QTKG,200,49.62,50.49,0.00,0,11870,30
0.50,NoKG,200,49.62,1.00,49.59,5886,11870,30
0.75,QTKG,200,24.81,75.20,0.00,0,11870,30
0.75,NoKG,200,24.81,1.00,74.35,8825,11870,30
0.90,QTKG,200,9.87,90.13,0.00,0,11870,30
0.90,NoKG,200,9.87,1.00,89.22,10591,11870,30
