config,w_o,w_r,w_m,w_h,delta,correct_promotion_pct,unsafe_promotion_pct,unsafe_promotions,blocked_safe,managed_edges,selection_changed_pct,active_retained_pct,reps
operating-point,0.250,0.400,0.200,0.150,0.050,96.47,0.00,0,403,11929,0.00,73.40,30
w_o-50%,0.125,0.400,0.200,0.150,0.050,96.47,0.00,0,403,11929,20.48,73.40,30
w_r-50%,0.250,0.200,0.200,0.150,0.050,96.47,0.00,0,403,11929,0.04,73.40,30
w_m-50%,0.250,0.400,0.100,0.150,0.050,96.47,0.00,0,403,11929,0.00,73.40,30
w_h-50%,0.250,0.400,0.200,0.075,0.050,96.47,0.00,0,403,11929,0.00,73.40,30
delta-50%,0.250,0.400,0.200,0.150,0.025,96.47,0.00,0,403,11929,0.00,73.40,30
w_o+50%,0.375,0.400,0.200,0.150,0.050,96.47,0.00,0,403,11929,0.04,73.40,30
w_r+50%,0.250,0.600,0.200,0.150,0.050,96.47,0.00,0,403,11929,20.48,73.40,30
w_m+50%,0.250,0.400,0.300,0.150,0.050,96.47,0.00,0,403,11929,0.00,73.40,30
w_h+50%,0.250,0.400,0.200,0.225,0.050,96.47,0.00,0,403,11929,0.00,73.40,30
delta+50%,0.250,0.400,0.200,0.150,0.075,96.47,0.00,0,403,11929,0.00,73.40,30
delta=0,0.250,0.400,0.200,0.150,0.000,96.47,0.00,0,403,11929,0.00,73.40,30
